period,org_code,type,attendances,breaches,admissions
2017-04-01,RJ2,1,16763,2167,4036
2017-04-01,RJ2,other,6822,149,0
2017-04-01,R1K,1,11492,4374,4810
2017-04-01,R1K,other,16159,182,0
2017-04-01,RC1,1,6048,301,1842
2017-04-01,RRK,1,9427,1632,2846
2017-04-01,RCD,1,4029,120,942
2017-04-01,RCD,other,887,0,0
2019-03-01,RAX,1,10266,1367,2513
2019-03-01,RAX,2,1147,1,0
2019-03-01,RJ2,1,14307,3633,4727
2019-03-01,RJ2,other,12962,491,0
2019-03-01,R1K,1,12753,3178,6522
2019-03-01,R1K,other,19109,365,0
2019-03-01,RC1,1,6537,1254,2044
2019-03-01,RC1,other,987,0,0
2019-03-01,RRK,1,32017,10670,10850
2019-03-01,RRK,other,3429,36,1336
2019-03-01,RCD,1,4303,184,1101
2019-03-01,RCD,other,724,0,0
2019-02-01,RAX,1,9466,1399,2283
2019-02-01,RAX,2,1050,2,0
2019-02-01,RJ2,1,13242,3891,4325
2019-02-01,RJ2,other,11598,690,0
2019-02-01,R1K,1,11846,3424,6069
2019-02-01,R1K,other,18121,317,0
2019-02-01,RC1,1,5991,968,1855
2019-02-01,RC1,other,736,0,0
2019-02-01,RRK,1,28898,11376,9789
2019-02-01,RRK,other,3077,63,1287
2019-02-01,RCD,1,3859,295,980
2019-02-01,RCD,other,645,0,0
2019-01-01,RAX,1,10050,1474,2652
2019-01-01,RAX,2,1154,1,0
2019-01-01,RJ2,1,13874,3637,4634
2019-01-01,RJ2,other,12311,610,0
2019-01-01,R1K,1,13019,4289,6519
2019-01-01,R1K,other,19337,367,0
2019-01-01,RC1,1,6358,824,2036
2019-01-01,RC1,other,815,0,0
2019-01-01,RRK,1,31935,12502,11493
2019-01-01,RRK,other,3089,73,1570
2019-01-01,RCD,1,4237,324,1042
2019-01-01,RCD,other,750,0,0
2018-12-01,RAX,1,9688,1248,2502
2018-12-01,RAX,2,1007,2,0
2018-12-01,RJ2,1,13739,3045,4853
2018-12-01,RJ2,other,11408,394,0
2018-12-01,R1K,1,12713,2910,6577
2018-12-01,R1K,other,18521,204,0
2018-12-01,RC1,1,6185,532,2101
2018-12-01,RC1,other,863,0,0
2018-12-01,RRK,1,30979,8981,11401
2018-12-01,RRK,other,3067,36,1457
2018-12-01,RCD,1,4391,385,1110
2018-12-01,RCD,other,667,0,0
2018-11-01,RAX,1,9667,1340,2404
2018-11-01,RAX,2,1178,8,0
2018-11-01,RJ2,1,13926,3176,4789
2018-11-01,RJ2,other,11460,307,0
2018-11-01,R1K,1,12797,3234,6137
2018-11-01,R1K,other,17922,342,0
2018-11-01,RC1,1,6328,643,1983
2018-11-01,RC1,other,932,0,0
2018-11-01,RRK,1,30645,8120,11230
2018-11-01,RRK,other,3125,60,1443
2018-11-01,RCD,1,4215,319,1007
2018-11-01,RCD,other,725,0,0
2018-10-01,RAX,1,9590,875,2271
2018-10-01,RAX,2,1260,6,0
2018-10-01,RJ2,1,13361,2605,4855
2018-10-01,RJ2,other,11828,263,0
2018-10-01,R1K,1,12332,2567,6343
2018-10-01,R1K,other,17641,157,0
2018-10-01,RC1,1,6074,623,2052
2018-10-01,RC1,other,1004,0,0
2018-10-01,RRK,1,30570,7089,10770
2018-10-01,RRK,other,3355,30,1468
2018-10-01,RCD,1,4464,232,1038
2018-10-01,RCD,other,783,1,0
2018-09-01,RAX,1,9158,1183,2242
2018-09-01,RAX,2,1080,8,0
2018-09-01,RJ2,1,12446,2776,4291
2018-09-01,RJ2,other,11432,221,0
2018-09-01,R1K,1,11594,2209,5883
2018-09-01,R1K,other,16458,305,0
2018-09-01,RC1,1,6303,569,1827
2018-09-01,RC1,other,110,0,0
2018-09-01,RRK,1,29915,6599,10819
2018-09-01,RRK,other,3491,47,1333
2018-09-01,RCD,1,4234,236,937
2018-09-01,RCD,other,774,0,0
2018-08-01,RAX,1,8748,964,2061
2018-08-01,RAX,2,1147,1,0
2018-08-01,RJ2,1,11960,2363,4306
2018-08-01,RJ2,other,11471,184,0
2018-08-01,R1K,1,11123,2011,5891
2018-08-01,R1K,other,15488,77,0
2018-08-01,RC1,1,6290,819,1908
2018-08-01,RC1,other,141,0,0
2018-08-01,RRK,1,29102,5983,10519
2018-08-01,RRK,other,3522,29,1227
2018-08-01,RCD,1,4222,299,977
2018-08-01,RCD,other,848,0,0
2018-07-01,RAX,1,9667,1037,2171
2018-07-01,RAX,2,1123,1,0
2018-07-01,RJ2,1,13220,2210,4652
2018-07-01,RJ2,other,12452,256,0
2018-07-01,R1K,1,11922,3038,6098
2018-07-01,R1K,other,17536,158,0
2018-07-01,RC1,1,6848,996,1941
2018-07-01,RC1,other,158,0,0
2018-07-01,RRK,1,32209,6499,11332
2018-07-01,RRK,other,4014,29,1394
2018-07-01,RCD,1,4634,292,915
2018-07-01,RCD,other,945,0,0
2018-06-01,RAX,1,9157,812,2190
2018-06-01,RAX,2,1198,10,0
2018-06-01,RJ2,1,12925,2227,4514
2018-06-01,RJ2,other,12045,263,0
2018-06-01,R1K,1,11606,2796,5727
2018-06-01,R1K,other,17159,286,0
2018-06-01,RC1,1,6574,682,1882
2018-06-01,RC1,other,148,0,0
2018-06-01,RRK,1,10035,1488,3942
2018-06-01,RCD,1,4381,257,887
2018-06-01,RCD,other,785,0,0
2018-05-01,RAX,1,9578,878,2274
2018-05-01,RAX,2,1203,0,0
2018-05-01,RJ2,1,13259,2125,4561
2018-05-01,RJ2,other,12458,411,0
2018-05-01,R1K,1,12031,3398,5963
2018-05-01,R1K,other,17395,246,0
2018-05-01,RC1,1,6891,582,2034
2018-05-01,RC1,other,143,0,0
2018-05-01,RRK,1,10573,1637,4044
2018-05-01,RCD,1,4621,246,982
2018-05-01,RCD,other,908,0,0
2018-04-01,RAX,1,8854,1103,2160
2018-04-01,RAX,2,1046,0,0
2018-04-01,RJ2,1,12477,2690,4457
2018-04-01,RJ2,other,11782,323,0
2018-04-01,R1K,1,11537,3087,5620
2018-04-01,R1K,other,16123,178,0
2018-04-01,RC1,1,6419,545,1965
2018-04-01,RC1,other,137,0,0
2018-04-01,RRK,1,9831,1759,3842
2018-04-01,RCD,1,4150,275,831
2018-04-01,RCD,other,701,0,0
